"No.","Time","Source","Destination","Protocol","Length","Info"
"1434","4.075432000","10.0.130.71","255.255.255.255","UDP","1156","Source port: 1977  Destination port: 2012"
"1435","4.077636000","10.0.128.124","255.255.255.255","UDP","1207","Source port: 1977  Destination port: 2012"
"1436","4.077825000","10.0.130.205","255.255.255.255","UDP","1171","Source port: 1977  Destination port: 2012"
"1438","4.081325000","10.0.130.114","255.255.255.255","UDP","1178","Source port: 1977  Destination port: 2012"
"1440","4.082479000","10.0.128.174","255.255.255.255","UDP","1199","Source port: 1977  Destination port: 2012"
"1441","4.083334000","192.168.14.22","255.255.255.255","UDP","1162","Source port: 1977  Destination port: 2012"
"1442","4.083746000","192.168.14.23","255.255.255.255","UDP","1161","Source port: 1977  Destination port: 2012"
"1443","4.084768000","10.0.129.63","255.255.255.255","UDP","1210","Source port: 1977  Destination port: 2012"
"1444","4.086571000","10.0.130.55","255.255.255.255","UDP","1156","Source port: 1977  Destination port: 2012"
"1445","4.086572000","10.0.129.164","255.255.255.255","UDP","1154","Source port: 1977  Destination port: 2012"
"1446","4.086784000","10.0.128.172","255.255.255.255","UDP","1267","Source port: 1977  Destination port: 2012"
"1447","4.086985000","10.0.130.92","255.255.255.255","UDP","1206","Source port: 1977  Destination port: 2012"
"1448","4.086985000","10.0.129.165","255.255.255.255","UDP","1222","Source port: 1977  Destination port: 2012"
"1449","4.088777000","10.0.128.138","255.255.255.255","UDP","1130","Source port: 1977  Destination port: 2012"
"1450","4.088977000","10.0.130.170","255.255.255.255","UDP","1214","Source port: 1977  Destination port: 2012"
"1451","4.089491000","10.0.128.228","255.255.255.255","UDP","1129","Source port: 1977  Destination port: 2012"
"1452","4.090978000","10.0.130.9","255.255.255.255","UDP","1250","Source port: 1977  Destination port: 2012"
"1453","4.091350000","10.0.128.99","255.255.255.255","UDP","1155","Source port: 1977  Destination port: 2012"
"1455","4.092634000","10.0.130.62","255.255.255.255","UDP","1157","Source port: 1977  Destination port: 2012"
"1456","4.092834000","10.0.130.4","255.255.255.255","UDP","1156","Source port: 1977  Destination port: 2012"
"1457","4.096037000","10.0.130.167","255.255.255.255","UDP","1182","Source port: 1977  Destination port: 2012"
"1458","4.097878000","10.0.130.59","255.255.255.255","UDP","1156","Source port: 1977  Destination port: 2012"
"1459","4.098079000","192.168.14.33","255.255.255.255","UDP","1163","Source port: 1977  Destination port: 2012"
"1460","4.098278000","10.0.130.175","255.255.255.255","UDP","1209","Source port: 1977  Destination port: 2012"
"1461","4.099966000","10.0.130.202","255.255.255.255","UDP","1206","Source port: 1977  Destination port: 2012"
"1462","4.100167000","10.0.130.168","255.255.255.255","UDP","1207","Source port: 1977  Destination port: 2012"
"1463","4.101097000","10.0.128.130","255.255.255.255","UDP","1181","Source port: 1977  Destination port: 2012"
"1464","4.101428000","10.0.130.66","255.255.255.255","UDP","1157","Source port: 1977  Destination port: 2012"
"1465","4.103520000","10.0.130.199","255.255.255.255","UDP","1204","Source port: 1977  Destination port: 2012"
"1466","4.104043000","10.0.130.69","255.255.255.255","UDP","1157","Source port: 1977  Destination port: 2012"
"1468","4.104773000","10.0.130.8","255.255.255.255","UDP","1253","Source port: 1977  Destination port: 2012"
"1469","4.105655000","10.0.130.118","255.255.255.255","UDP","1161","Source port: 1977  Destination port: 2012"
"1470","4.105902000","10.0.129.163","255.255.255.255","UDP","1188","Source port: 1977  Destination port: 2012"
"1471","4.107230000","192.168.14.161","255.255.255.255","UDP","1132","Source port: 1977  Destination port: 2012"
"1472","4.107866000","10.0.130.95","255.255.255.255","UDP","1260","Source port: 1977  Destination port: 2012"
"1474","4.109193000","10.0.128.180","255.255.255.255","UDP","1197","Source port: 1977  Destination port: 2012"
"1475","4.109394000","10.0.130.172","255.255.255.255","UDP","1195","Source port: 1977  Destination port: 2012"
"1476","4.111754000","10.0.130.177","255.255.255.255","UDP","1209","Source port: 1977  Destination port: 2012"
"1477","4.111954000","10.0.130.224","255.255.255.255","UDP","1206","Source port: 1977  Destination port: 2012"
"1478","4.113154000","10.0.130.30","255.255.255.255","UDP","1129","Source port: 1977  Destination port: 2012"
"1479","4.115196000","10.0.128.202","255.255.255.255","UDP","1261","Source port: 1977  Destination port: 2012"
"1480","4.115396000","10.0.130.65","255.255.255.255","UDP","1157","Source port: 1977  Destination port: 2012"
"1481","4.116099000","10.0.130.211","255.255.255.255","UDP","1188","Source port: 1977  Destination port: 2012"
"1482","4.116499000","10.0.130.89","255.255.255.255","UDP","1124","Source port: 1977  Destination port: 2012"
"1483","4.117668000","10.0.130.67","255.255.255.255","UDP","1156","Source port: 1977  Destination port: 2012"
"1484","4.118774000","10.0.130.96","255.255.255.255","UDP","1181","Source port: 1977  Destination port: 2012"
"1485","4.119453000","10.0.130.60","255.255.255.255","UDP","1159","Source port: 1977  Destination port: 2012"
"1486","4.119656000","10.0.130.58","255.255.255.255","UDP","1156","Source port: 1977  Destination port: 2012"
"1488","4.121013000","10.0.128.45","255.255.255.255","UDP","1168","Source port: 1977  Destination port: 2012"
"1489","4.121206000","10.0.130.210","255.255.255.255","UDP","1131","Source port: 1977  Destination port: 2012"
"1490","4.121406000","10.0.130.73","255.255.255.255","UDP","1152","Source port: 1977  Destination port: 2012"
"1491","4.122510000","192.168.14.26","255.255.255.255","UDP","1163","Source port: 1977  Destination port: 2012"
"1492","4.122710000","10.0.130.32","255.255.255.255","UDP","1157","Source port: 1977  Destination port: 2012"
"1493","4.123357000","10.0.128.126","255.255.255.255","UDP","1182","Source port: 1977  Destination port: 2012"
"1494","4.123557000","0.0.0.0","255.255.255.255","UDP","1094","Source port: 1977  Destination port: 2012"
"1495","4.124017000","10.0.130.38","255.255.255.255","UDP","1157","Source port: 1977  Destination port: 2012"
"1496","4.124228000","10.0.130.56","255.255.255.255","UDP","1156","Source port: 1977  Destination port: 2012"
"1497","4.126414000","10.0.130.171","255.255.255.255","UDP","1158","Source port: 1977  Destination port: 2012"
"1499","4.128033000","10.0.130.213","255.255.255.255","UDP","1209","Source port: 1977  Destination port: 2012"
"1500","4.128500000","10.0.128.78","255.255.255.255","UDP","1207","Source port: 1977  Destination port: 2012"
"1501","4.128700000","10.0.130.74","255.255.255.255","UDP","1152","Source port: 1977  Destination port: 2012"
"1503","4.132174000","10.0.130.94","255.255.255.255","UDP","1156","Source port: 1977  Destination port: 2012"
"1504","4.132524000","10.0.130.2","255.255.255.255","UDP","1253","Source port: 1977  Destination port: 2012"
"1505","4.132801000","10.0.130.198","255.255.255.255","UDP","1155","Source port: 1977  Destination port: 2012"
"1506","4.133206000","10.0.130.232","255.255.255.255","UDP","1190","Source port: 1977  Destination port: 2012"
